WONUM,TASKDESC,TASKDESC - CATEGORY,WOC.TEXTS
1461,DCP2- ROLLER SHUTTERS (VERY NOISE AND UNABLE TO DOWN),FACILITY,"6/10/2011 - HOISTING ROOM TWO ROLLER SHUTTERS ARE VERY NOISY WHEN GOING UP AND HEAT PUMP ROOM ROLLER SHUTTER IS UNABLE TO DOWN.

06/10/2011 - YBI: 1) B2M HOISTING AREA : NOISE COMING FROM INSIDE ROLLER SHUTTER COVER ON TOP.
                                         WILL INFORM FAISAL OR SIVA TO ARRANGE FOR OPENING UP.
                  2) HEAT PUMP RM : APECO HAVEN'T DO SVC YET."
1462,DCP2 - COOLING TOWER GATE VALVE DAMAGED,MECH,"6/10/10 - COOLING TOWER BALANCING DRAIN GATE VALVE BETWEEN CT-3&4 STUD IS DAMAGED(DENTED). 
        - DUE TO THE DAMGED STUD, GATE CAN'T BE CLOSED PROPERLY & WATER IS SEEPING THROUGH.

7/10/10 - WITH EO VETRI INSTRUTION REMOVE THE BEND GATE STUD & TAKE CT2 STUD INSTALLED AT CT3.- YEO & MOKTHER."
1463,DCP1 - BC-3 UNABLE TO STOP M1 MODE,I&C,"6/10/2011 -  UNABLE TO STOP M1 MODE. SCHEDULE MODE SHOW OPERATION OFF BUT ALL  COMPRESSORS STILL RUNNING.SEQ SHOW UNFREEZE. STOP MANUAL FROM DCIS.

10/10/2011 - MEERA: CHECK ABB LOGIC & FOUND NO PROBLEM. 
                    AWAITING FOR BC-3 CHARGING MODE TO CONFIRM.

24/10/2011 - AFTER MONITORING THE BC-3 CHARGING CYCLE THE M1 MODE OPERATION SEQUENCE IS RUNNING NORMAL. IF WE WILL FACE ANY PROBLEMS THAN CARRYOUT FURTHER                       TROUBLESHOOTING"
1464,DCP1- SMOKE DETECTOR FAULTY ALARM INSIDE SERVICE LIFT MOTOR ROOM,FACILITY,"09/10/20111 - ORQ (YOSOF) COMPLAINT SMOKE DECETOR B2 ZONE-9 ACTIVIATED. CHECKED IT ON SITE NORMAL. SO, ORQ ISOLATED THIS DECETOR UNTIL FAULTY ALARM IS CLEARED.

10/10/2011 - YBI: REMOVE & CLEAN UP DUST AT THE SMOKE DETECTOR & TERMINATION BLOCK.
                  
11/10/2011 - YBI: WILL STANDBY MAINT. ON SITE & REQUEST ORQ FCC TO NORMALISE TO MONITOR.  

15/10/2011 - KELVIN: CHANGED THE SMOKE DETECTOR AND TESTED BY SIEMENS & APECO. EVERYTHING IS NORMALISED."
1465,ASIA SQUARE PODIUM HEX-7 PRI VALVE UNABLE TO CONTROL FROM DCIS,I&C,"12/10/2011 - MOKTHER & SUGUMAR: TRY TO CONTROL TCV-1120G FROM LCP - NO ACTION.
                                RESET THE CONTROL VALVE PROGRAMME - NORMAL
                                ALREADY FEEDBACK TO EE CHEE & HE WILL FOLLOW UP WITH DAI-DAN. 

             AFTER RELOCATING THE AO CHANNEL FOR TCV VALVE AT DCIS SIDE, THE VALVE HANG ISSUE RESOLVED AND WE WILL FURTHER MONITORING ANOTHER TWO WEEKS  ALL THE               ASIA SQUARE TCV VALVE.

31/1/2012 - AS OF NOW, ALL VALVES ARE WORKING OK AND ABLE TO CONTROL. WILL MONITOR FURTHER AND CLOSE THE WO BY MID OF FEB. - JKM"
1466,DCP2 WCP4 STRAINER CANNOT INSTALL PROPERLY,OPERATIONS,"17/10/2011 - CTS,SMR TRIED TO PUT BACK THE STAINER AFTER STAINER CLEANING FOR WCP4. WCP4 STRAINER CANNOT PUT BACK/REINSTALL PROPERLY 

18/10/2011 - VETRI,SMR,ZWL,APECO TECH PUT BACK THE STAIRER WITH OUT ANY LEAKAGE/PROBLEM. 

             CURRENTLY HAVE NO SPARE STAINER, IF ANY ONE STAINER DAMAGED, DOWNTIME OF THE CHILLER MAY BE INCREASED, SO NEED TO BUY ADDITIONAL SPARE STAINER."
1467,DCP2 MODBUS COM ERROR COME OUT A LOT AFTER ELECTRICAL SHUTDOWN,I&C,"21/10/11 - TIMEOUT OF MODBUS COMM INCREASED; POWER METER FOR WC3-2 REPLACED BY ANTHONY GOH. MODBUS COMM TO MONITOR. LEC
4/11/11 - AFTER REPLACEMENT, MODBUS COMM NO MORE ALARM FOR ABOVE MENTIONED. LEC"
1468,DCP2-NWMP 2 UNABLE TO RUN IN BOTH LOCAL AND DCIS,ELEC,"19/10/2011 - DCP2-NWMP 2 UNABLE TO RUN BOTH LOCAL AND DCIS .POSD ON WHEN RUNNING IN DCIS.UNABLE TO RUN IN LOCAL MODE TOO.
            
20/10/11 - YBI, ANTHONY GOH & KELVIN : CHECK AND FOUND OVERLOAD TRIP. 
           LOCAL START UP : RESET BACK & RUN PUMP FROM LV PANEL - OK
                            RUN FROM FROM PUMP AREA - OK
           DCIS START UP :RUN FROM DCIS - OK 
           ** WITNESSED BY CHEE TAO SIANG/OPERATION"
1469,DCP 2  WCDP 2   WATER LEAKING FROM SHAFT DRIVE END (DOUBLE CREATION),MECH,"DCP 2  WCDP 2   WATER LEAKING FROM SHAFT DRIVE END
  
During Strainer Cleaning valve closed  and pump already stop  checked & found that the pump shaft drive end water leaking inform to duty engineer ( Teo Hock San ).

20/10/2011 - YBI : DOUBLE CREATION. PLEASE REFER TO WORK ORDER NO. 1415
                   MAINTENANCE TEAM NEED TO DISCUSS WITH MANAGEMENT METHOD OF DISMANTLING MECHANICAL SEAL."
1470,DCP2 CT-6 CONSTANT TRIPPING (DOUBLE CREATION),ELEC,"DSP2 CT-6 CONSTANT TRIPPING DURING OPERATION.
          STATUS ALARMS:ELECTRICAL TRIP, DRIVE FAULTS
          FAULTWORD2 STATE EXTERNAL FAULT

20/10/2011 - YBI : DOUBLE CREATION. PLS REFER TO WORK ORDER NO. 1470"
1471,DCP2 CT 6 REPEATED TRIP DUE TO VIBRATION SWITCH,ELEC,"DSP2 CT-6 CONSTANT TRPPING DURING OPERATION
     STATUS ALARM:ELECTRICAL TRIP, DRIVE FAULT.
     FAULT2 STATE ELECTRICAL FAULT

20/10/2011 - KELVIN : PREVIOUSLY HAS CHECKED ON SITE THAT VIBRATION IS OK (<2MM/S) BUT DID NOT CHANGE THE VIBRATION SETTING
             ANTHONY LIEM : CHANGE THE VIBRATION SETTING. WILL BE UNDER MONITORING FOR 2 WEEKS BEFORE CLOSE CASE"
1472,BAY FRONT MRT  INTAKE STATION R16  TIC-1120B FAULTY,I&C,"R16 INTAKE STATION BAY FRONT INTAKE STATION  TIC-1120B VALVE CANNOT CONTROL 
                                             WHEN SET 50%, THE VALVE NOT MOVING

24/10/2011 - WENT TO SITE TO CHECK. VALVE STROKING AT SITE AND BY CONTROL ROOM OK. TO MONITOR. LEC

6/12/2011 - MONITOR SO FAR OK. TO CLOSE WO AND MONITOR. LEC"
1473,DCP2 PCWP-2 MODBUS COMM. ALWAYS ALARM,I&C,"DCP2 PCWP-2 MODBUS COMM.ERROR ALWAYS ALARM

31/1/12 - RECONNECT WIRE OF MODBUS CABLES. MONITOR FOR WHOLE DAY AND NO MORE ALARM. TO FURTHER MONITOR.- LEC

22/2/12 - SO FAR NO MORE ALARM OF MODBUS COMM ERROR. TO CLOSE WO AND MONITOR. - LEC"
1474,DCP1- SUMP PUMP SPCP-5 PUMP# 2 WATER SPLASH OUT DURING OPERATION,FACILITY,"DCP1- SUMP PUMP SPCP-5 PUMP# 2  NEAR WC1 WATER SPLASH OUT DURING OPERATION. 

27/10/2011 - YBI : ALREADY SCHEDULED FOR APECO'S MAINTENANCE TOMORROW.REQUESTED SUGUMAR TO PUT PUMP OUT OF SERVICE.

28/10/2011 - MIN TUN & YUSRI : APECO ALREADY TIGHTENED THE LOOSED HOSE & RUN TEST WITH OPERATION - OK."
1475,DCP1-SPCP 4 NO INCOMING POWER SUPPLY AND PUMP UNABLE TO CUT IN,ELEC,"DCP1-SPCP 4 PANEL (NEAR  LINK CHAMBER ) NO INCOMING POWER SUPPLY AND SUMP PUMP CANT CUT IN AND SO CANT DRAIN OUT WHEN  WATER LEVEL HIGH .

03/11/2011 - KELVIN & YBI: CHECK & FOUND THAT FLOAT SENSOR FAULTY. TEMPORARY BY-PASS TO ENABLE PUMP TO RUN MANUALLY. 
                           KELVIN ALREADY EMAILED TO ALL FOR SUMP PIT MONITORING & ACTION TO BE TAKEN.
                           AWAITING TO FIND QUOTATION TO PURCHASE FLOAT SENSORS. 

10/11/2011 - YBI: AWAITING FOR 3 QUOTATIONS FOR RFA SUBMISSION. 

12/12/2011 - YBI: REPLACED 4NOS. OF FLOAT SENSORS & TEST RUN BY APECO."
1475,DCP1-SPCP 4 NO INCOMING POWER SUPPLY AND PUMP UNABLE TO CUT IN,ELEC,"DCP1-SPCP 4 PANEL (NEAR  LINK CHAMBER ) NO INCOMING POWER SUPPLY AND SUMP PUMP CANT CUT IN AND SO CANT DRAIN OUT WHEN  WATER LEVEL HIGH .

03/11/2011 - KELVIN & YBI: CHECK & FOUND THAT FLOAT SENSOR FAULTY. TEMPORARY BY-PASS TO ENABLE PUMP TO RUN MANUALLY. 
                           KELVIN ALREADY EMAILED TO ALL FOR SUMP PIT MONITORING & ACTION TO BE TAKEN.
                           AWAITING TO FIND QUOTATION TO PURCHASE FLOAT SENSORS. 

10/11/2011 - YBI: AWAITING FOR 3 QUOTATIONS FOR RFA SUBMISSION."
1476,DCP1-OFC INTAKE STATION FACE PLATE CAN'T OPEN IN DCP1 SCADA SYSTEM,I&C,"          - DCP1-OFC INTAKE STATION FACE PLATE CAN'T OPEN IN DCP1 SCADA SYSTEM BUT IN DCP 2 .

          - ALL THE FACE PLATE ARE OPEN AND NOT FOUND ANY ABNORMALTIES AT OFC INTAKE STATION DCIS SCREEN AT PLANT 01 - WORK ORDER CLOSED."
1477,DCP 2 WWP-1 POWER METER VALUE NOT SHOW AT DCIS .,I&C,"DCP 2 WWP-1 POWER METER VALUE NOT SHOW AT DCIS .
WWP-1  when running power meter value at local display is ok but  DCIS always show zero .

26/1/12 - RECTIFIED. CHECKED OK. - LEC"
1478,DCP 1 BC-1 XV-335A-3 DURING M4 SWITCH TO M2 FAIL TO OPEN .,OPERATIONS,"DCP 1 BC-1 XV-335A-3 VALVE  DURING M4 SWITCH TO M2 FAIL TO OPEN (.Alarm POS.DISCREPANCY OPEN )

11/11/2011 - MINTO : CHECK & STROKE VALVE ON SITE - NORMAL.
             MEERA : REQUESTED FOR OPERATION TO PROCEED WITH M4 & SWITCH TO M2 TO MONITOR FOR REPEATED OCCURRENCE.

           - BC2 and BC1 SWITCHING OPERATION FR M4 TO M2 BY OPERATION AND UNDER MONITER BY MEERA & YUSLANE. SWITCHING OPERATION ARE NORMAL AND NOT FINDING ANY              ABNORMAL ALARM. WORK ORDER CLOSED."
1479,DCP2 HP-4 TRIPPED DUE TO PRESSURE DIFFERENTIAL SWITCH OPEN,MECH,"16/11/2011  DURING NORMAL OPERATION,HP-4 TRIPPED DUE TO PRESSURE DIFFERENTIAL SWITCH OPEN. TWO HPEP PUMP ARE RUNNING.
            (SUSPECTED DUE TO LOW EVAPORATOR FLOW). SAHWAN WILL TEST TO CONFIRM
17/11/2011 - RAYMOND : TESTED OPERATION & RUNNING NORMAL."
1480,DCP1-ORQ PODIUM NEED TO CHECK FCVS FOR WATER PASSING WHEN 0% OPENING,I&C,"DCP1-ORQ PODIUM NEED TO CHECK FCVS FOR WATER PASSING WHEN 0% OPENING AT NIGHT OPERATION .

20/11/2011 - STROK THE BIG ACTAUTOR VALVE CLOSE TO 0%, THAN CLOSE SMALL ACTAUTOR VALVE TO 0% IT SHOW APPROX. 8 TO 10 M3/HR FLOW SO MANUAL FUTHER CLOSE THE VALVE .
             THAN THE FLOW VALUE IS SHOWING 0 M3/HR. - MEERA, VETRI, YEO & NOOR.

21/11/2011 - AFTER ADJUSTED THE SMALL VALVE ZERO ADJUSTMENT, THE WATER PASSING BY SMALL VALVE IS 7 M3/HR AND REQUIRED FURTHER ZERO ADJUSTMENT.

23/11/2011 - AFTER ADJUSTED THE ZERO POSITION THE VALVE HAS CLOSED FULLY AND FLOW METER IS RECORDED THE ZERO FLOW (BOTH VALVE CLOSE TEST CARRYOUT BY OPERTION              SOEMIN TEAM) - WORK COMPLETED."
1481,DCP1-WC 5-2 COMPRESSOR CURRENT FLUCTUATING DURING NORMAL OPERATION,ELEC,"DCP1-WC 5-2 COMPRESSOR CURRENT FLUCTUATING DURING NORMAL OPERATION WITH CONTSTANT FLOW AND SET POINT.

18-11-2011 : As shown in the trend chart around 1500hrs-1530hrs. The fluctuation of the current is the result of protection control logic. The running current has exceeded the rated current of the motor,  protection logic of the chiller control is in action. The motor is being overloaded, every time the current limit is exceeded,  the logic forced the vane to close to reduce the load, and chilled water temperature would rise.- THS"
1482,DCP1 TO VERIFY TEMPERATURE SENSOR IN L4 ELECTRICAL ROOM,FACILITY,TEMPERATURE READING APPEAR ABNORMAL ON DCIS . CHECK LOCALLY BOTH AHU RUNNING BUT THE ROOM TEMPERATURE APPEAR TO BE OK.
1483,DCP1 L4 ELECTRICAL ROOM TEMP HIGH WHEN TWO AHU  RUNNING,FACILITY,"22/11/2011 - YBY- LEVEL-4 ELECTRICAL ROOM TEMP HIGH 36.5 DEGREE WHEN TWO AHU RUNNING.BUT BOOSTER PUMP NOT RUNNING.FAN IS SWITCHED ON AND OPEN THE DOORS.

22/11/2011 - YBI : PURGED AIR-LOCK INSIDE THE SYSTEM FOR 6-7HRS. TEMPERATURE NORMALISED & HANDOVER TO OPERATION TO MONITOR."
1484,SHIFT LEADER PC NETWORK NOT CONNECTED,I&C,"22/11/2011 ....... SHIFT LEADER PC NETWORK NOT CONNECTED.

22/11/2011 - CHECKED AND FOUND THAT THE WALL SOCKET IS HAVING PROBLEM CONNECTING TO THE NETWORK SWITCH. WILL TRY TO RESOLVE BY THIS FRIDAY. - LEC

1/12/2011 - REPLACED WALL SOCKET. CHECKED & TEST OK. LEC"
1485,DCP2 - BFT INTAKE STATION RTU INACCURATE READINGS T.Es  & ENERGY METER.,I&C,"22/11/11 - BFT INTAKE STATION TE-1110 & TE-1130 & QQ-1150 SHOWING INACCURATE READINGS. 
         - TE-1110 & 1130 ARE SHOWING ONLY 0.4 & 0.9 DEG.C ONLY
         - QQ-1150 IS SHOWING 0 MWrH
         - ENERGY VALUE IS BACK TO NORMAL AT LOCAL TOUCH SCREEN AFTER INCREASING THE DIGIT SIZE AT SCREEN."
1485,DCP2 - BFT INTAKE STATION RTU INACCURATE READINGS T.Es  & ENERGY METER.,I&C,"22/11/11 - BFT INTAKE STATION TE-1110 & TE-1130 & QQ-1150 SHOWING INACCURATE READINGS. 
         - TE-1110 & 1130 ARE SHOWING ONLY 0.4 & 0.9 DEG.C ONLY
         - QQ-1150 IS SHOWING 0 MWrH"
1486,DCP1 - WC 2-1 TRIPPED DUE TO PosD_STARTCOMP1,ELEC,"22/11/11 - WC2-1 COMPRESSOR TRIP DUE TO PosD_STARTCOMP1. 
         - LOAD CONDITIONS WAS NORMAL & OPERATIONS WASNT DOING ANY SWITCHING OF COMPRESSORE DURING THAT TIME.
         - MCP ALARM- 1I/L STARTER PANEL ALARM,LCP ALARM-LCP-WC-2 AC230 CB DISCONNECT.

25/11/2011 - KELVIN : CHECK ON THE PANEL AND AUTOTRANS, ALL NORMAL. NOW STILL RUNNING. UNDER MONITORING UNTIL NEXT MONDAY.
             YBI : SO FAR, SYSTEM RUNNING NORMAL AFTER A WEEK OF OPERATION."
1487,DCP-1 LEVEL-4 WATER TREATMENT ROOM LEAKAGE,OPERATIONS,"23/11/2011 - DCP-1 LEVEL-4 WATER TREATMENT ROOM CHEMICAL LEAKAGE.NEED TO INFORM NALCO AND RECTIFY- MIN TUN

24/11/2011 - NALCO INVESTIGATE AND FIND OUT THAT THERE IS NO LEAKAGE, SUSPECT THAT THE CHEMICAL NEAR THE TANK MAY BE DUE TO THE SPILL DURING TOP UP.
 
           - THERE ARE FEW INCIDENTS OF CHEMICAL LEAK AT DCP1 FOR LAST TWO MONTHS. PROPOSE TO CHANGE THE PIPING AT CHEMICAL ROOM AT LEVEL-4. - VETRI."
1488,DCP1 BC-3 M1 MODE UNABLE TO STOP,MECH,"23/11/2011 - UNABLE TO STOP M1 MODE. THREE COMPRESSOR ARE STILL RUNNING AFTER PRESSING OFF BUTTON.

25/11/2011 - TESTED BC3 M1 CHARGING SEQUENCE FOR STARTING UP AND SHUTING UP ALL THE OPERATION SEQUECE ARE RUN NORMALLY. OPEATION FURTHER MONITOR."
1489,"DCP1 AC-1 ""CRITICAL ERROR""WARNING  ON LOCAL DISPLAY",FACILITY,"DCP 1 AC-1 ""CRITICAL ERROR (300A)  POWER OFF -ON CALL SERVICE "" WARNING ON  LOCAL DISPLAY .UNABLE TO RESET.

.CANT RUN LOCALLY AND DCIS.

-NOOR WENT TO  AIR COMPRESSOR CONTROL PANEL AND MCB OFF AND  ON  BACK  THEN WARNING CLEARED.AND NORMALIZED OPERATION BACK."
1490,DCP1 PORTABLE WATER TANK LT 005A AND LT 005B HIGH LEVEL ALARMS,I&C,"DCP 1 PORTABLE WATER TANK LT 005A AND LT 005B HIGH LEVEL ALARMS KEEP ON COMING IN DCIS BUT LEVEL READING IS DIFFERED FROM DCIS AND LOCAL SIDE GLASS.

LOCAL LEVEL READING IS ABOVE 5.3 M (HH ALARM). SUSPECTED THAT FLOATING VALVE WAS NEVER DEACTIVATED WHEN GOING HIGH LEVEL OR SENSOR ERROR. UNABLE TO GO IN AND 

CHECK DUE TO CONFINED SPACE.
28/11/2011 - CHECK LEVEL TRANMISTER INSIDE PORTABLE WATER TANK FOUND BOTH TRANMISTER HAS NO DISPLAY POSSIBLE THE NO POWER SUPPLY MEERA PLEASE ASSIST TO CHECK - MOKTHER, CHOW KOK MENG.

1/12/2011 - DISPLAY UNIT IS FAULTY. REPLACED DISPLAY UNIT FOR LEVEL TRANSMITTER LT005A. SENSOR IS WORKING IN GOOD CONDITION. OPERATION TO MONITOR."
1490,DCP1 PORTABLE WATER TANK LT 005A AND LT 005B HIGH LEVEL ALARMS,I&C,"DCP 1 PORTABLE WATER TANK LT 005A AND LT 005B HIGH LEVEL ALARMS KEEP ON COMING IN DCIS BUT LEVEL READING IS DIFFERED FROM DCIS AND LOCAL SIDE GLASS.

LOCAL LEVEL READING IS ABOVE 5.3 M (HH ALARM). SUSPECTED THAT FLOATING VALVE WAS NEVER DEACTIVATED WHEN GOING HIGH LEVEL OR SENSOR ERROR. UNABLE TO GO IN AND 

CHECK DUE TO CONFINED SPACE."
1491,DCP1 WCDP2 STRAINER HANDLE BROKEN AT ONE SIDE,OPERATIONS,DCP1- WCDP2 STRAINER HANDLE BROKEN AT ONE SIDE
1491,DCP1 WCDP2 STRAINER HANDLE BROKEN AT ONE SIDE,OPERATIONS,"DCP1- WCDP2 STRAINER HANDLE BROKEN AT ONE SIDE DURING STRAINER CLEANING WORK. NEED TO TAKE OUT AND  WELD BACK.

29/11/2011 - YBI : NEED OPERATION CLEARANCE AFTER P1/WCDP5 REPAIR WORK COMPLETED.

14/12/2011 - YBI: MOKTHER & LIN SONG TAKE OUT STRAINER,WELDED BACK THE STAINLESS STEEL BAR ON BOTH SIDES & CLEANED.
                  INSTALLED BACK & HANDOVER TO OPERATIONS AZAM - RUN NORMAL."
1492,DCP2 - WC 4 PROCESS TRIPPED,ELEC,"DCP2 -WC 4 TRIPPED DUE TO PROCESS TRIP (WCDP 4 MOTOR WINDING TEMP WENT UP 130 DEG C) .

5/12/11 - WCDP-4 MOTOR RED PHASE WINDING TEMP RAISED MORE THAN 130 DEG C (HH) CAUSING PROCESS TRIP. CHECKED AND CONFIRMED TEMP. SENSOR FAULTY. TO REPLACE. LEC

6/12/11 - CHECKED RTD MODULE OK. CHECK MOTOR WINDING TEMP. SENSOR TERMINAL BOX. CHECK SENSOR RESISTANCE OK. RE-TIGHTENED THE TERMINATIONS AND CHECKED. FOUND THAT AFTER TIGHTENING, VALUE READ OK. ALL 3 PHASE APPROX. 50 DEGC (WITH MSH TUIRNED ON). LEC/MEERA"
1494,DCP1-WC2-1 TRIPPED BY 1 I/L STARTER PANEL,ELEC,"DCP1 WC2-1 TRIPPED BY 1I/L STARTER PANEL DURING NORMAL OPERATION .START AGAIN 1 HOUR LATER , TRIPPED AGAIN BY SAME FAULT . 

12/12/2011 - KELVIN: REPLACED A NEW TIMER BASEPLATE & TEST RUN - NORMAL."
1495,DCP2 MALE & FEMALE TOILET AIR-CON WATER LEAK,FACILITY,"12/12/2011 - MOKTHER : FCU AT MALE AND FEMALE TOILET LEAKING. IT IS SERVING TO SERVER ROOM.

16/12/2011 - VETRI : APECO ERRECT SCAFFOLD TO TROUBLESHOOT THE FCU.

17/12/2011 - VETRI : APECO HIGHLIGHT THAT THE DRAIN PIPE GOT CHOKE AND CLEARED.NORMALISED AND PUT BACT TO OPERATION.

29/12/2011 - VETRI : MONITORD FOR LAST TWO WEEKS. NO LEAKING. CONSIDERED CLOSED."
1496,DCP2-TOTAL RUNNING HOURS FOR ALL HPs ARE THE SAME VALUES IN DCIS,I&C,"DCP2-TOTAL RUNNING HOURS FOR ALL HPs ARE THE SAME VALUES IN DCIS 

24 FEB 12 - LEC: RECTIFIED (S/W MODIFICATION) AND CHECKED OK."
1497,DCP1 TRANSFORMER NO.2 TAP CHARGER CONTROL FAULT ALARM,ELEC,"DCP1 24/12/2011 TRANSFORMER NO.2 TAP CHARGER CONTROL FAULT ALARM.
                               ONSITE CHECK NO ABNORMALITY.
                               ANALOG TAP CHANGER POSITION AT 4,BUT MARKING INDICATE 5.  

24/12/11 - Come in to troubleshoot after receive call from Samy. Press ACK at RTCC and two alarm came on. a)power supply off and b)tap stuck.
-Found Q1 breaker to motor at OLTC (local side control panel) trip. Turn OLTC selector switch to OFF and reset the breaker(Before the work, opn help to swing load to Txf 1). 
-Select OLTC to local, motor turn and all the fault reset. Select the OLTC to Remote.
Notice the RTCC (ABB AVR controller) for TF2 is selected to Manual while the TF1 is put at Auto. Refer to Kelvin Tam to have a update why there is the arrangment.
28/12/11 - Anthony Goh arranged with ABB service to check because maintenance work was only carried out in early Dec 11. To follow up - Reported by Ang"
1498,DCP1 MCC 3 & 4 ROOM WATER SEEPAGE THRU THE WALL,ELEC,"DCP1 MCC 3 & 4 ROOM WATER SEEPAGE THRU THE WALL
          CAUSING WATER LOGE IN ONE OF THE CABLE TRAY, TRIPING DB.BC.B2.14.B LIGHTING CKT.
          TEMPORARY SOLUTION : WATER CLEAR AND ISOLATE THE AFFECTED LIGHTING.(25/12/2011)

3/1/2012 - BROUGHT OBAYASHI CONTRACTOR AND DISCUSSED TO INSTALL A GUTTER DRAIN. AWAITING QUOTATION - KELVIN

16/1/2012 - MATERIALS HAD BEEN ORDERED. AWAITING ARRIVAL & INSTALLATION - KELVIN

18/1/2012 - MATERIALS ARRIVED. NOW MAKING PREPARATION FOR ERECTION & INSTALLATION. - KELVIN

10/02/2012 - MAINT TEAM : INSTALLED DRAIN GUTTER FOR ONE SIDE OF THE WALL. 
                          WILL CONTINUE ON MONDAY.

13/02/2012 - MAINT TEAM : CONTINUE TO INSTALL DRAIN GUTTER.

14/02/2012 - MAINT TEAM : ALREADY COMPLETED INSTALLATION OF DRAIN GUTTER."
1499,DCP1- ORQ T1 FCVS UNABLE TO CONTROL,I&C,"DCP1- ORQ T1 BOTH FCVS (PCV-1130A-1 & PCV-1130A-2) UNABLE TO CONTROL AND FLOW FLUCTUATING SUDDENLY.

WE FOUND OUT AIR SUPPLY PRESSURE IS 5 BAR AND OUTLET IS 3.5 BAR AT PCVS.

SOLUTION: REPLACED AIR FILTER .ADJUST THE AIR SUPPLY PRESSURE TO 5.5 BAR AND OUTLET BECOME 4.3 BAR. AND NORMALIZED."
1500,DCP2 HOTWATER MICE RTU DATE AND TIME NOT UPDATED AT DCIS,I&C,"DCP 2 HOTWATER MICE RTU DATE AND TIME NOT UPDATED AT DCIS

1. DCIS SHOWING HOT WATER RTU MICE DATE AND THE TIME 00:00.

6/3/12 - LEC: ABB CAME AND RECTIFIED THE PROBLEM. CHECKED OK."
1501,DCP 1- ORQ T1 FLOW TRANSMITTER - FT 1110A  SHOWING  ABNORMAL VALUES,I&C,"DCP 1- ORQ T1 FLOW TRANSMITTER -FT 1110A NEED TO CHECK DUE TO FLOW RATE FLUCTUATION AND SHOWING ZERO VALUE VERY OFTEN .

WE DID AIR PURGING AT CHILLED WATER SYSTEM BUT NO CHANGES.

CHECKED ALL PARAMETER SETTING TO FLOW TRANSMITTER AND NOT FOUND ANY ABNORMALITIES. OPERATION WILL MONITOR 1 WEEK THE FLOW METER IF NO ANY ABNORMALITIES THAN CLOSE THE WORK ORDER."
1504,DCP2 FAF-DCS-B2M -02 NOT WORKING DUE TO RELAY FAULTY,FACILITY,"01\01\2012 - CHECKED IT ON SITE. ONE RELAY INSIDE ACMV PANEL IS FAULTY.

04/01/2012 - NEED TO GET SPARE PART FROM PLANT 1 - KELVIN

05/01/2012 - FAF-DCS-B2M -02 IS FREE FROM ANY ELECTRICAL COMPONENT FAULTY. THE EQUIPMENT IS NOT WORKING IS DUE TO THE SWITCHING INTERLOCK FROM LVMCC ROOM LMCP-DCS-B2M-03(E). OPERATION NEED TO REVIEW THE STARTING & STOP TIMING.

05/01/2012  / 11.00 AM - EQUIPMENT VERIFIED, TESTED & CHECK BY SOE MIN & ZAWLATT"
1505,DCP1- FRP COATING IN CT19 & CT 21  BASIN IS DAMAGED AND RUSTY,MECH,"30/12/2011 - BASIN CLEANING FOR THE CT 19, 21 HAS BEEN CARRIED OUT. NOTICED FRP COATING FOR CT 19 & 21 HAS BEEN DAMAGED.

           - BUBLE LIKE LAYER ON THE FLOOR. IF YOU PRESS THE LAYER, WATER COMING OUT AND UNDERNEATH THE LAYER IS RUSTY. SO WATER GOING UNDER THE FRP COATING AND                 DAMAGED THE METAL LAYER. -VETRI

18/01/2012 - SALIHIN : FEEDBACK THAT JOHNNY/STOLZ WILL QUOTE & ADVISE LATER.
             TEO     : ADVISING THAT IT WILL TAKE AROUND 2-3WEEKS. 

26/01/2012 - SALIHIN : STILL AWAITING STOLZ TO REPLY WITH QUOTATION. MR ANG CK ADVISED TO CHECK WITH MICHEAL GOH REGARDING USE OF POLY UREA PAINT.

29/03/2012 - SALIHIN : STOLZ DIDN'T REPLY REQUEST.
                       WILL INVITE OTHER CONTRACTORS FOR THE WORK.

30/04/2012 - SALIHIN : RFQ SUBMITTED TO ANG ALREADY FOR APPROVAL.

05/2012 - MSR : AS DISCUSSED IN DEFECT MEETING, VETRI SAYS ITS RISKY TO DOWN 5NOS. OF CT AT 1 TIME TO DO REPAIRS DUE TO INCREASING LOAD DEMAND. RECOMENDED TO WAIT FOR NEW CHILLERS TO COMMISION BEFORE START WITH REPAIR. MINIMUM 5 DAYS REQUIRED TO DO PROPER JOB AND AMPLE TIME FOR CURING OF MATERIALS FOR 1 BASIN. TOTAL 10 DAYS NEEDED FOR 2 BASINS."
